epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3242,1.42854,1.39823,1.70664,0.90833,0.92848,0.97136,0.63954,1.19057,0.55681,1.26622,0.000330808,0.000330808,0.000330808
2,108.467,1.38431,1.14408,1.65211,0.94172,0.95465,0.98328,0.68514,1.07453,0.51207,1.28008,0.000659758,0.000659758,0.000659758
3,161.908,1.41177,1.15876,1.68872,0.90208,0.91318,0.95162,0.5746,1.40637,0.69811,1.39287,0.000984308,0.000984308,0.000984308
4,213.988,1.4064,1.19969,1.67493,0.85579,0.93257,0.95284,0.5676,1.47761,0.70892,1.48871,0.0009802,0.0009802,0.0009802
5,266.43,1.36136,1.14801,1.6475,0.93428,0.92717,0.96276,0.58908,1.43151,0.66149,1.46575,0.0009736,0.0009736,0.0009736
6,317.492,1.37622,1.18218,1.67611,0.95643,0.89889,0.95605,0.62528,1.21689,0.60209,1.30093,0.000967,0.000967,0.000967
7,369.714,1.37253,1.1697,1.65569,0.93648,0.89649,0.96274,0.4943,1.57128,0.68591,1.52678,0.0009604,0.0009604,0.0009604
8,422.345,1.35193,1.13644,1.6538,0.86162,0.95552,0.94846,0.66724,1.05008,0.59483,1.21893,0.0009538,0.0009538,0.0009538
9,474.639,1.31912,1.13116,1.61476,0.9621,0.95996,0.98681,0.6765,1.17035,0.55226,1.31297,0.0009472,0.0009472,0.0009472
10,526.774,1.32677,1.11678,1.62767,0.94108,0.95526,0.98377,0.64654,1.14154,0.57751,1.31997,0.0009406,0.0009406,0.0009406
11,578.954,1.34464,1.11785,1.62229,0.9478,0.93415,0.97668,0.66393,1.15317,0.6291,1.30098,0.000934,0.000934,0.000934
12,631.264,1.29173,1.08808,1.60507,0.92495,0.9491,0.98453,0.55437,1.48501,0.60745,1.50982,0.0009274,0.0009274,0.0009274
13,683.438,1.30766,1.08856,1.59957,0.95064,0.96554,0.98794,0.72796,0.98434,0.50492,1.2498,0.0009208,0.0009208,0.0009208
14,737.554,1.28286,1.09371,1.60159,0.92719,0.95739,0.98154,0.67695,1.12197,0.55894,1.31829,0.0009142,0.0009142,0.0009142
15,790.289,1.26827,1.07834,1.57343,0.93468,0.9139,0.96862,0.57948,1.46028,0.62003,1.50732,0.0009076,0.0009076,0.0009076
16,842.562,1.2836,1.03808,1.59318,0.91216,0.97054,0.97852,0.68259,1.09167,0.51983,1.28331,0.000901,0.000901,0.000901
17,895.181,1.26855,1.04324,1.57076,0.97912,0.93596,0.98777,0.65432,1.19597,0.5201,1.33294,0.0008944,0.0008944,0.0008944
18,947.561,1.27427,1.05667,1.59124,0.96297,0.92131,0.97897,0.66995,1.17478,0.53328,1.29616,0.0008878,0.0008878,0.0008878
19,999.82,1.24346,1.02012,1.56391,0.95029,0.94523,0.97673,0.70297,1.00372,0.5174,1.23924,0.0008812,0.0008812,0.0008812
20,1052.14,1.23291,1.00901,1.55279,0.94465,0.93751,0.98493,0.66545,1.19779,0.52643,1.31441,0.0008746,0.0008746,0.0008746
21,1104.44,1.26108,1.01604,1.54232,0.95212,0.9608,0.98664,0.69241,1.09132,0.49334,1.23473,0.000868,0.000868,0.000868
22,1156.95,1.25227,1.03604,1.55278,0.91095,0.96113,0.96863,0.67396,1.13415,0.53212,1.27007,0.0008614,0.0008614,0.0008614
23,1209.2,1.27924,1.02505,1.56572,0.90248,0.94911,0.97212,0.65133,1.15953,0.54507,1.2903,0.0008548,0.0008548,0.0008548
24,1261.74,1.25612,0.99303,1.55835,0.93629,0.94369,0.98197,0.73786,0.93847,0.47242,1.18617,0.0008482,0.0008482,0.0008482
25,1315.67,1.24159,1.07155,1.54694,0.97557,0.94939,0.98769,0.64198,1.28882,0.51545,1.33438,0.0008416,0.0008416,0.0008416
26,1367.72,1.20873,0.99886,1.51863,0.93012,0.96275,0.98682,0.70476,1.10127,0.51051,1.24296,0.000835,0.000835,0.000835
27,1420,1.24129,1.04778,1.53313,0.92988,0.91918,0.95822,0.66123,1.12541,0.54916,1.2938,0.0008284,0.0008284,0.0008284
28,1472.32,1.23527,0.98302,1.53187,0.9544,0.96281,0.97768,0.6152,1.28027,0.51818,1.34377,0.0008218,0.0008218,0.0008218
29,1524.85,1.23194,0.98584,1.5221,0.97112,0.9603,0.99125,0.67214,1.08861,0.48718,1.25134,0.0008152,0.0008152,0.0008152
30,1577.36,1.19863,0.98116,1.5072,0.93183,0.97449,0.98765,0.70153,1.07462,0.50481,1.23059,0.0008086,0.0008086,0.0008086
31,1629.56,1.22749,0.98219,1.51999,0.96318,0.96821,0.98192,0.66779,1.23059,0.50153,1.32647,0.000802,0.000802,0.000802
32,1681.99,1.20842,0.98102,1.50432,0.95158,0.90654,0.97858,0.69947,1.01366,0.52211,1.21507,0.0007954,0.0007954,0.0007954
33,1734.12,1.21794,0.95827,1.51572,0.96695,0.93818,0.98406,0.71958,0.97651,0.47276,1.16732,0.0007888,0.0007888,0.0007888
34,1786.21,1.16999,0.96488,1.48692,0.93273,0.90555,0.96663,0.71372,0.9882,0.52982,1.20337,0.0007822,0.0007822,0.0007822
35,1838.33,1.19938,0.93337,1.49263,0.96122,0.94244,0.97981,0.68618,1.081,0.4797,1.25781,0.0007756,0.0007756,0.0007756
36,1889.25,1.19305,0.93779,1.51253,0.97574,0.9821,0.99309,0.69386,1.07114,0.47188,1.23688,0.000769,0.000769,0.000769
25,52.5374,1.24464,0.99455,1.52173,0.97712,0.93896,0.98674,0.68969,1.09639,0.51825,1.26632,0.0008416,0.0008416,0.0008416
26,104.742,1.21672,0.9894,1.5214,0.9483,0.95912,0.98575,0.70844,1.05751,0.5081,1.25799,0.000835,0.000835,0.000835
27,158.409,1.21401,1.00337,1.52875,0.94869,0.97659,0.98918,0.72472,1.01839,0.48997,1.22924,0.0008284,0.0008284,0.0008284
28,211.046,1.21485,0.96218,1.52448,0.96822,0.96872,0.98172,0.64947,1.23482,0.51909,1.3001,0.0008218,0.0008218,0.0008218
29,263.08,1.19989,0.93267,1.49586,0.97613,0.96945,0.99274,0.73968,0.98428,0.46843,1.1956,0.0008152,0.0008152,0.0008152
30,318.434,1.2043,0.95302,1.51769,0.96287,0.97509,0.97903,0.68677,1.088,0.4988,1.24614,0.0008086,0.0008086,0.0008086
31,370.352,1.19891,0.9544,1.5078,0.98136,0.97329,0.98238,0.67563,1.13703,0.46546,1.26826,0.000802,0.000802,0.000802
32,424.741,1.19412,0.95041,1.52527,0.9675,0.97329,0.98973,0.75486,0.91996,0.44704,1.15805,0.0007954,0.0007954,0.0007954
33,478.504,1.16548,0.94352,1.49225,0.95987,0.96797,0.98474,0.72051,1.02705,0.46818,1.18988,0.0007888,0.0007888,0.0007888
34,531.636,1.16322,0.9338,1.49171,0.9745,0.97767,0.9933,0.68795,1.12144,0.46269,1.25735,0.0007822,0.0007822,0.0007822
35,584.103,1.17867,0.92411,1.47527,0.97246,0.97836,0.98754,0.72202,1.00162,0.44554,1.17184,0.0007756,0.0007756,0.0007756
36,636.788,1.13656,0.9088,1.46613,0.94573,0.94764,0.98701,0.73346,0.98208,0.45321,1.18696,0.000769,0.000769,0.000769
37,690.337,1.16217,0.89925,1.47235,0.93776,0.97312,0.98872,0.71755,1.03975,0.46771,1.20926,0.0007624,0.0007624,0.0007624
38,742.777,1.12896,0.9061,1.46505,0.95425,0.96966,0.98903,0.68486,1.11267,0.47578,1.25653,0.0007558,0.0007558,0.0007558
39,795.236,1.13608,0.91042,1.46638,0.97902,0.98008,0.99198,0.70794,1.06677,0.46692,1.23204,0.0007492,0.0007492,0.0007492
40,847.832,1.14826,0.88961,1.47969,0.95153,0.96418,0.98877,0.71252,1.0245,0.46654,1.22388,0.0007426,0.0007426,0.0007426
41,900.071,1.14523,0.88408,1.46404,0.97551,0.98223,0.98685,0.76814,0.88583,0.41659,1.14443,0.000736,0.000736,0.000736
42,954.147,1.14122,0.88747,1.47192,0.94573,0.9759,0.97267,0.66793,1.1518,0.50606,1.26094,0.0007294,0.0007294,0.0007294
43,1005.89,1.10128,0.86162,1.44719,0.95314,0.99492,0.9924,0.72344,0.99712,0.4237,1.19837,0.0007228,0.0007228,0.0007228
